"","day","n_total","n_exceed20000","per_exceed20000"
"1",1,100000,0,0
"2",2,100000,0,0
"3",3,100000,1,0.001
"4",4,100000,40,0.04
"5",5,100000,175,0.175
"6",6,100000,567,0.567
"7",7,100000,1212,1.212
"8",8,100000,2050,2.05
"9",9,100000,3127,3.127
"10",10,100000,4175,4.175
"11",11,100000,5449,5.449
"12",12,100000,6833,6.833
"13",13,100000,8422,8.422
"14",14,100000,10133,10.133
"15",15,100000,12237,12.237
"16",16,100000,14229,14.229
"17",17,100000,16338,16.338
"18",18,100000,18634,18.634
"19",19,100000,21051,21.051
"20",20,100000,23372,23.372
"21",21,100000,25635,25.635
"22",22,100000,28014,28.014
"23",23,100000,30308,30.308
"24",24,100000,32699,32.699
"25",25,100000,35050,35.05
"26",26,100000,37430,37.43
"27",27,100000,39699,39.699
"28",28,100000,42135,42.135
"29",29,100000,44517,44.517
"30",30,100000,46868,46.868
"31",31,100000,49051,49.051
"32",32,100000,51298,51.298
"33",33,100000,53311,53.311
"34",34,100000,55252,55.252
"35",35,100000,57148,57.148
