"","OriginalAT","PreviousAT","NewClosestAT"
"1",83,100,"23"
"3",184,100,"23"
"5",189,100,"23"
"7",111,100,"23"
"9",28,100,"23"
"11",28,100,"23"
"13",23,100,"23"
"15",23,100,"23"
"17",29,100,"23"
"19",29,100,"23"
"21",29,100,"23"
"23",345,100,"23"
"25",274,100,"23"
"27",338,100,"23"
"29",17,17,"17"
"31",17,17,"17"
"33",303,17,"17"
"35",303,17,"17"
"37",303,17,"17"
"39",299,17,"17"
"41",151,3,"61"
"43",151,3,"61"
"45",151,3,"61"
"47",342,3,"3"
"49",132,3,"3"
"51",132,3,"3"
"53",90,3,"3"
"55",3,3,"3"
"57",3,3,"3"
"59",3,3,"3"
"61",3,3,"3"
"63",3,3,"3"
"65",3,3,"3"
"67",3,3,"3"
"69",3,3,"3"
"71",3,3,"3"
"73",3,3,"3"
"75",3,3,"3"
"77",3,3,"3"
"79",3,3,"3"
"81",3,3,"3"
"83",3,3,"3"
"85",3,3,"3"
"87",3,3,"3"
"89",3,3,"3"
"91",3,3,"3"
"93",3,3,"3"
"95",3,3,"3"
"97",3,3,"3"
"99",75,3,"3"
"101",75,3,"3"
"103",75,3,"3"
"105",75,3,"3"
"107",75,3,"3"
"109",75,3,"3"
"111",75,3,"3"
"113",75,3,"3"
"115",75,3,"3"
"117",75,3,"3"
"119",75,3,"3"
"121",75,3,"3"
"123",75,3,"3"
"125",75,3,"3"
"127",75,3,"3"
"129",75,3,"3"
"131",75,3,"3"
"133",75,3,"3"
"135",97,3,"3"
"137",340,340,"340"
"139",340,340,"340"
"141",170,179,"179"
"143",170,179,"179"
"145",170,179,"179"
"147",157,179,"179"
"149",157,179,"179"
"151",239,179,"179"
"153",239,179,"179"
"155",199,179,"179"
"157",199,179,"179"
"159",199,179,"179"
"161",199,179,"179"
"163",179,179,"179"
"165",179,179,"179"
"167",179,179,"179"
"169",179,179,"179"
"171",179,179,"179"
"173",179,179,"179"
"175",179,179,"179"
"177",179,179,"179"
"179",179,179,"179"
"181",179,179,"179"
"183",334,179,"179"
"185",139,15,"159"
"187",343,15,"159"
"189",343,15,"159"
"191",138,15,"159"
"193",138,15,"159"
"195",138,15,"159"
"197",138,15,"159"
"199",332,15,"159"
"201",77,45,"45"
"203",41,45,"45"
"205",168,45,"45"
"207",39,45,"45"
"209",39,45,"45"
"211",39,45,"45"
"213",163,45,"45"
"215",87,45,"45"
"217",87,45,"45"
"219",87,45,"45"
"221",87,45,"45"
"223",335,45,"45"
"225",336,45,"45"
"227",339,45,"45"
"229",349,45,"45"
"231",346,15,"15"
"233",19,15,"15"
"235",348,15,"15"
"237",36,15,"15"
"239",16,15,"15"
"241",2,15,"15"
"243",2,15,"15"
"245",2,15,"15"
"247",35,15,"15"
"249",35,15,"15"
"251",40,15,"15"
"253",40,15,"15"
"255",74,15,"15"
"257",74,15,"15"
"259",7,15,"15"
"261",15,15,"15"
"263",15,15,"15"
"265",15,15,"15"
"267",15,15,"15"
"269",15,15,"15"
"271",15,15,"15"
"273",15,15,"15"
"275",15,15,"15"
"277",15,15,"15"
"279",15,15,"15"
"281",15,15,"15"
"283",15,15,"15"
"285",15,15,"15"
"287",15,15,"15"
"289",15,15,"15"
"291",50,15,"15"
"293",50,15,"15"
"295",50,15,"15"
"297",21,15,"15"
"299",21,15,"15"
"301",21,15,"15"
"303",21,15,"15"
"305",21,15,"15"
"307",13,15,"15"
"309",18,15,"15"
"311",27,15,"15"
"313",61,61,"61"
"315",61,61,"61"
"317",61,61,"61"
