ID,LOG initial,Initial conc
434_62-1,-0.729619321,0.186372006
434_62-2,2.083801039,121.2833094
437_22-2,1.469447965,29.47460303
437_23-2,-0.10218369,0.790344272
439_52-2,-0.095935718,0.801796733
439_53-1,1.104184663,12.71114472
439_53-2,1.867065411,73.63179884
442_22,1.507312146,32.15971161
442_22-1,1.034117878,10.81727518
442_22-2,0.011118544,1.025931925
442_23-1,0.669503445,4.672006575
442_23-2,1.0012265,10.02828111
457_22-1,-0.798477363,0.159045958
457_22-2,0.893282947,7.821372093
457_22-3,1.12997371,13.48881225
Aim2_Prelim,-2.326684253,0.004713199
434_72,1.200933979,15.88305276
434_72-1,2.317059664,207.5198591
434_73,1.001622798,10.03743621
434_73-1,1.071733986,11.79597887
439_63,1.952165222,89.57054616
437_72,1.847758218,70.43008597
437_72-1,-0.211678028,0.614217197
437_72-2,1.550122809,35.49137373
437_73,1.780936731,60.38606514
437_73-1,-0.991279048,0.102028371
437_73-2,2.544955056,350.7155774
440_43-2,0.19881197,1.580563577
442_73,-1.127697771,0.074525042
458_12,0.893389971,7.823299753
458_12-1,1.038213097,10.91976009
458_13,-0.36336616,0.433145534
458_13-1,-0.035163645,0.922223861
458_13-2,0.947484987,8.861045921
436_92,-1.465559237,0.034232669
438_12,1.602176553,40.01073714
441_62-2,-1.127697771,0.074525042
441_63-2,-0.189684477,0.646123479
433_22,-0.681423174,0.208246076
438_23-2,0.353288651,2.255737975
440_82,-0.462738767,0.344557123
440_82-2,-1.127697771,0.074525042
440_83-2,2.446234765,279.4053807
433_31,-1.42085738,0.037943957
433_32,0.096555353,1.248979623
433_33,-0.827672135,0.148705785
433_33-1,-0.423436733,0.377192689
433_34,-0.444657611,0.359205013
435_82,-0.224687508,0.5960909
435_82-2,0.00827711,1.019241528
435_83-1,-1.069168824,0.085276855
438_33,0.221677678,1.666010284
438_33-2,1.291526241,19.56708994
440_92-1,1.810011126,64.567077
440_93-1,0.270360661,1.863634152
440_93-2,-1.127697771,0.074525042
435_12-1,1.125230338,13.34228884
435_13-1,1.285130592,19.28104605
442_83,-1.127697771,0.074525042
434_31,-0.450395546,0.35449038
434_32,0.78188231,6.05176855
434_32-2,0.087929706,1.224418001
434_33,0.926862943,8.450121301
434_33-1,0.399872377,2.511148391
434_34,-0.184178356,0.654367384
436_73,0.080445145,1.203497368
439_33-1,2.50320507,318.5701425
439_33-2,1.337773693,21.76575283
441_92-2,-0.212648536,0.612846152
441_93-2,0.432413626,2.706534865
458_34,-0.73841794,0.182634181
458_34-1,0.484675942,3.052642469
434_21,0.587448751,3.867664116
434_22,1.570184101,37.16927592
434_22-1,0.808223723,6.430188776
434_23,0.330881576,2.142306355
434_23-2,-0.138699354,0.726608787
434_24,0.679560654,4.781461396
439_23-2,1.30499751,20.18354791
441_82-2,-1.127697771,0.074525042
441_83-2,1.708120882,51.06471139
458_23,-0.417739434,0.382173496
457_23-2,-2.190289945,0.006452233
