RealAT,ClosestAT

83,100

184,100

189,100

111,100

28,100

28,100

23,100

23,100

29,100

29,100

29,100

345,100

274,100

338,100

17,17

17,17

303,17

303,17

303,17

299,17

151,3

151,3

151,3

342,3

132,3

132,3

90,3

3,3

3,3

3,3

3,3

3,3

3,3

3,3

3,3

3,3

3,3

3,3

3,3

3,3

3,3

3,3

3,3

3,3

3,3

3,3

3,3

3,3

3,3

75,3

75,3

75,3

75,3

75,3

75,3

75,3

75,3

75,3

75,3

75,3

75,3

75,3

75,3

75,3

75,3

75,3

75,3

97,3

340,340

340,340

170,179

170,179

170,179

157,179

157,179

239,179

239,179

199,179

199,179

199,179

199,179

179,179

179,179

179,179

179,179

179,179

179,179

179,179

179,179

179,179

179,179

334,179

139,15

343,15

343,15

138,15

138,15

138,15

138,15

332,15

77,45

41,45

168,45

39,45

39,45

39,45

163,45

87,45

87,45

87,45

87,45

335,45

336,45

339,45

349,45

346,15

19,15

348,15

36,15

16,15

2,15

2,15

2,15

35,15

35,15

40,15

40,15

74,15

74,15

7,15

15,15

15,15

15,15

15,15

15,15

15,15

15,15

15,15

15,15

15,15

15,15

15,15

15,15

15,15

15,15

50,15

50,15

50,15

21,15

21,15

21,15

21,15

21,15

13,15

18,15

27,15

61,61

61,61

61,61
