rpoBAT,lag,mumax,LOG10N0,LOG10Nmax,lag_four_A,lag_four_B,mumax_four_A,mumax_four_B
3,6.563,1.053,2.143,5.79,10.46005,11.74221,0.6606891,0.5885468
100,10.4222,0.9893,3.4399,6.5451,16.6108,18.64691,0.6207215,0.5529434
15,1.9293,0.6404,3.5174,6.5069,3.0749,3.451812,0.4018094,0.3579348
513,5.7252,0.7422,3.0383,6.4395,9.124769,10.24326,0.4656823,0.4148333
61,13.387,1.543,2.776,6.357,21.33607,23.95138,0.9681323,0.8624195
45,18.2244,0.9647,4.3403,7.7041,29.04588,32.60623,0.6052866,0.5391938
179,4.9731,0.8079,2.9685,7.6904,7.926079,8.897634,0.5069048,0.4515546
340,3.527,0.7807,3.43,7.398,5.621299,6.310341,0.4898385,0.436518
17,2.964,1.342,3.06,7.364,4.723995,5.303048,0.8420178,0.7500758
23,29,0,3,0,46.2,46.2,0,0
159,29,0,3,0,46.2,46.2,0,0
