"","Plant","VSL Number","SampleID","16S ST"
"1","Upstate Rochester","434","22-1",9
"2","Upstate Rochester","434","23-2",16
"3","Upstate Rochester","434","23-2",23
"4","Upstate Buffalo","434","33-1",24
"5","Cornell Dairy","434","72",9
"6","Cornell Dairy","434","72-1",9
"7","Cornell Dairy","434","73",9
"8","Cornell Dairy","434","73-1",9
"9","Stewart's","435","12-1",34
"10","Stewart's","435","13-1",38
"11","Stewart's","435","13-1",16
"12","Stewart's","435","13-1",40
"13","Hood-Concord","435","73-2",13
"14","Hood-Portland","435","82-2",51
"15","Hood-Portland","435","83-1",53
"16","Hood-Portland","435","83-2",53
"17","Upstate Rochester","436","83-2",56
"18","Byrne Dairy","437","22-2",16
"19","Byrne Dairy","437","22-2",9
"20","Byrne Dairy","437","23-2",13
"21","Byrne Dairy","437","23-2",67
"22","Byrne Dairy","437","23-2",16
"23","Byrne Dairy","437","23-2",66
"24","Cornell Dairy","437","32-1",41
"25","Garelick Farms","437","73",77
"26","Stewart's","437","82-1",6
"27","Hood-Concord","438","23-2",51
"28","Hood-Concord","438","23-2",79
"29","Hood-Portland","438","33",11
"30","Hood-Portland","438","33-2",81
"31","Hood-Agawam","438","12-2",33
"32","Upstate Rochester","439","23-2",83
"33","Upstate Buffalo","439","33",1
"34","Upstate Buffalo","439","33-1",85
"35","Upstate Buffalo","439","33-2",88
"36","Upstate Buffalo","439","33-2",85
"37","Byrne Dairy","439","52-2",13
"38","Byrne Dairy","439","53-1",16
"39","Byrne Dairy","439","53-2",13
"40","Byrne Dairy","439","53-2",98
"41","Byrne Dairy","439","53-2",83
"42","Byrne Dairy","439","53-2",94
"43","Byrne Dairy","439","53-2",36
"44","Garelick Farms","440","43-2",102
"45","Hood-Concord","440","82",23
"46","Hood-Portland","440","92-1",51
"47","Hood-Portland","440","92-1",52
"48","Hood-Portland","440","93-1",51
"49","Hood-Portland","440","93-1",52
"50","Hood-Portland","440","93-2",41
"51","Hood-Agawam","441","63",9
"52","Upstate Rochester","441","82-2",16
"53","Upstate Rochester","441","83-2",110
"54","Upstate Rochester","441","83-2",16
"55","Upstate Rochester","441","83-2",43
"56","Upstate Buffalo","441","93",112
"57","Upstate Buffalo","441","93-2",67
"58","Upstate Buffalo","441","93-2",113
"59","Hood-Barre","441","73-1",41
"60","Byrne Dairy","442","22-1",16
"61","Byrne Dairy","442","22-1",13
"62","Byrne Dairy","442","22-2",16
"63","Byrne Dairy","442","23",116
"64","Byrne Dairy","442","23-1",117
"65","Byrne Dairy","442","23-2",23
"66","Garelick Farms","442","73-1",120
"67","Hood-Agawam","433","12",4
"68","Hood-Concord","433","22",1
"69","Hood-Portland","433","32",11
"70","Hood-Portland","433","32",9
"71","Hood-Portland","433","32",13
"72","Hood-Barre","433","42",1
"73","Upstate Rochester","434","22",9
"74","Upstate Rochester","434","23",21
"75","Upstate Rochester","434","23",7
"76","Upstate Buffalo","434","32",16
"77","Upstate Buffalo","434","33",16
"78","Byrne Dairy","437","22",23
"79","Upstate Buffalo","Aim2_Prelim","P23-5",41
"80","Byrne Dairy","457","22-1",13
"81","Byrne Dairy","457","22-2",110
"82","Byrne Dairy","457","22-2",42
"83","Byrne Dairy","457","22-2",13
"84","Byrne Dairy","457","23-2",23
"85","Byrne Dairy","457","23-2",61
"86","Byrne Dairy","457","23-4",41
"87","Byrne Dairy","457","24",117
"88","Garelick Farms","458","12-2",9
"89","Garelick Farms","458","12-3",13
"90","Garelick Farms","458","13-3",146
"91","Upstate Buffalo","458","31",13
"92","Upstate Buffalo","458","32",41
"93","Upstate Buffalo","458","34",20
"94","Garelick Farms","458","12-2",52
"95","Garelick Farms","458","13-3",36
"96","Garelick Farms","458","13-3",52
"97","Upstate Rochester","458","22",100
"98","Upstate Rochester","458","23-2",9
"99","Upstate Rochester","458","23-2",52
"100","Upstate Rochester","458","24",30
"101","Upstate Buffalo","458","34",62
