Day,Type,Percent
14,Post Intervention,9.09
15,Post Intervention,11.72
16,Post Intervention,14.13
17,Post Intervention,17.48
18,Post Intervention,20.47
19,Post Intervention,23.26
20,Post Intervention,26.47
21,Post Intervention,29.47
22,Post Intervention,32.03
23,Post Intervention,34.72
24,Post Intervention,36.96
14,Original,10.208
15,Original,12.781
16,Original,15.416
17,Original,18.172
18,Original,20.984
19,Original,23.738
20,Original,26.667
21,Original,29.665
22,Original,32.309
23,Original,34.881
24,Original,37.521
